meanFix,minFix,maxFix,varFix,stdFix,meanDis,minDis,maxDis,varDis,stdDisp,freqDisPerSec,number_of_blinks,blinkMean,blinkMin,blinkMax,blinkRate,xDir,yDir,fixDensPerBB,label,duration,participant_id
253.6060606060606,100,866,27517.996212121205,165.8854912646709,0.0576230854259904,0.027980177700990302,0.18186082350992888,0.0016955403389726181,0.04117693940754483,3.3,0,0,0,0,0,0.46875,0.59375,517.7603439746179,Inspection,10,02
305.7931034482759,100,1133,63533.66995073891,252.05886207538688,0.053001092630930266,0.008081451560366314,0.16666697330355038,0.0017345513665374907,0.04164794552600993,2.9,0,0,0,0,0,0.5357142857142857,0.5,314.6673514059714,Inspection,10,02
458.2,100,1167,92729.32631578948,304.5149032736977,0.035898083659564664,0.014908676612424178,0.11330519084728066,0.0004210425647499483,0.020519321741956975,2.0,1,2066.0,2066,2066,0.1,0.631578947368421,0.47368421052631576,409.3067974961271,Inspection,10,02
287.8,100,933,29060.71724137931,170.4720424039652,0.05404196036482522,0.027940505992089606,0.19073209767306376,0.0016602667738540601,0.04074637129676777,3.0,3,2855.3333333333335,400,7633,0.3,0.4827586206896552,0.6206896551724138,431.7808674791677,Inspection,10,02
294.3666666666667,100,1000,46835.55057471264,216.4152272246864,0.05400706478441611,0.028152232732530015,0.18415094164447945,0.0016063828327104901,0.040079705995809026,3.0,0,0,0,0,0,0.5862068965517241,0.4482758620689655,588.4009693709837,Inspection,10,02
249.02941176470588,100,634,16721.423351158654,129.31134270108967,0.043204137939494035,0.020871971777999373,0.11199337158246424,0.0005350281766792455,0.023130676096457827,3.4,2,616.5,66,1167,0.2,0.45454545454545453,0.5757575757575758,434.16952135680907,Inspection,10,02
326.84615384615387,100,700,30222.13538461539,173.84514771662563,0.0382084116647618,0.028118213102416866,0.11806842694290016,0.0004263637040227642,0.020648576319513272,2.6,9,1159.111111111111,33,3167,0.9,0.92,0.64,144.05986151783713,Reading,10,02
348.08,100,633,23246.826666666664,152.4691006947528,0.05107581856272276,0.019433714644170368,0.09998793215245556,0.0005137548613653762,0.022666161151932547,2.5,10,970.2,33,3634,1.0,0.75,0.5833333333333334,150.15317882544002,Reading,10,02
303.42857142857144,100,633,22558.32804232804,150.19430096487696,0.05466042732280117,0.028311921392808085,0.3209171705492203,0.003006683059718514,0.054833229521144514,2.8,9,1114.7777777777778,33,2400,0.9,0.8148148148148148,0.8148148148148148,150.67537568042093,Reading,10,02
278.76666666666665,100,500,13371.288505747127,115.63428775993358,0.05050561895221339,0.028499311703213664,0.10437354879868321,0.0005312286149974873,0.02304839723272504,3.0,11,887.7272727272727,33,2667,1.1,0.896551724137931,0.6896551724137931,167.68012496935896,Reading,10,02
297.7241379310345,100,1033,35770.1354679803,189.12994334049884,0.07108886686211482,0.008784353251813167,0.35782244762493276,0.006397742928143808,0.07998589205693594,2.9,11,1036.4545454545455,34,3334,1.1,0.75,0.6785714285714286,153.77946364942903,Reading,10,02
513.0555555555555,100,1334,125806.64379084967,354.6923227120227,0.03933525990950792,0.016484120688986983,0.09873978601900832,0.0004951423923659095,0.022251795261639215,1.8,4,1050.25,34,2266,0.4,0.8235294117647058,0.7647058823529411,110.1197007264658,Reading,10,02
181.13513513513513,100,667,16709.064564564567,129.2635469286085,0.055055146154852797,0.022609691109432027,0.3258122391766379,0.003256695178294503,0.057067461642292296,3.7,14,888.2142857142857,67,2667,1.4,0.6388888888888888,0.5555555555555556,105.43892010502162,Search,10,02
204.59459459459458,100,1133,35186.46996996996,187.58056927616454,0.06025697985592196,0.028383795486554668,0.23047322997160719,0.00248542296212377,0.049854016509442545,3.7,11,1109.1818181818182,33,4500,1.1,0.5,0.5277777777777778,163.28689248751976,Search,10,02
176.47058823529412,100,567,15503.10516934047,124.51146601554602,0.07369973957607615,0.027937153912261502,0.3393406293271616,0.005091059137619153,0.0713516582681801,3.4,33,813.2424242424242,34,3666,3.3,0.48484848484848486,0.5151515151515151,52.810311243838214,Search,10,02
178.4516129032258,100,533,13724.789247311825,117.15284566459248,0.05165642409332637,0.02827758077338814,0.504644875240409,0.00720328247403397,0.08487215370210638,3.1,30,576.5333333333333,0,2467,3.0,0.43333333333333335,0.43333333333333335,86.90883338736035,Search,10,02
167.45945945945945,100,500,8414.921921921923,91.73288353650463,0.07238881748756273,0.02796714551527485,0.6127514424970864,0.010332438990206335,0.1016486054513604,3.7,24,669.2916666666666,33,2633,2.4,0.5277777777777778,0.5277777777777778,63.950420424029254,Search,10,02
175.29032258064515,100,334,5711.412903225806,75.57389035391658,0.07430445667093975,0.028137430472822987,0.4882436249496104,0.009752916712873788,0.09875685653600862,3.1,35,927.6285714285714,167,1800,3.5,0.4666666666666667,0.43333333333333335,96.3243587928246,Search,10,02
